"tractid","total_population00","white_alone00","educational_attainment00","median_income00","median_rent00","income_category00","non_white00","total_population20","median_income20","median_home_value20","educational_attainment20","white_alone20","black_alone20","native_alone20","asian_alone20","native_hawaiian_pacific_islander20","some_other_race_alone20","two_or_more20","hispanic_or_latino20","income_category20","non_white_population20"
36047027700,4136,25,239,22359,522,"Low Income",4111,4630,40790,827800,687,394,3575,32,41,0,0,115,505,"Moderate Income",4268
36047027800,2623,2046,376,31172,673,"Moderate Income",577,3181,56607,768500,813,1488,59,0,1400,0,26,31,177,"Moderate Income",1693
36047027900,3791,4,187,28375,615,"Low Income",3787,3705,58786,731100,953,421,2807,0,20,0,22,136,299,"Moderate Income",3284
36047028000,1608,1077,296,51074,673,"Moderate Income",531,1763,61429,610600,417,724,38,0,741,0,7,5,248,"High Income",1039
36047028100,3656,11,84,14063,403,"Low Income",3645,5076,27265,487800,482,455,2467,6,186,0,0,168,1794,"Low Income",4621
36047028200,2890,2001,540,41945,837,"Moderate Income",889,3496,61713,662100,897,1671,0,0,1480,0,28,59,258,"High Income",1825
36047028300,3624,32,85,13919,441,"Low Income",3592,3997,34716,0,385,504,1997,14,42,0,0,14,1426,"Moderate Income",3493
36047028400,3868,2662,728,38452,718,"Moderate Income",1206,3712,49200,834000,812,1977,60,12,1251,0,0,23,401,"Moderate Income",1747
36047028501,1443,125,63,38438,675,"Moderate Income",1318,460,91842,0,154,137,22,0,21,0,0,0,280,"Very High Income",323
36047028502,2858,9,79,15184,218,"Low Income",2849,2938,18850,0,125,7,1565,0,110,0,0,41,1215,"Low Income",2931
36047028600,4984,3544,1279,29500,724,"Low Income",1440,5115,40950,544500,1502,2414,130,96,1481,0,0,107,983,"Moderate Income",2797
36047028700,2796,168,106,17850,417,"Low Income",2628,2781,33333,829500,470,339,1282,26,270,0,42,0,822,"Moderate Income",2442
36047028800,3502,2019,452,36467,721,"Moderate Income",1483,3816,47641,671100,770,1439,9,0,1546,0,102,18,702,"Moderate Income",2377
36047028900,3392,46,168,23045,552,"Low Income",3346,3789,50089,717400,460,356,2260,59,46,0,33,11,1024,"Moderate Income",3433
36047029000,3802,2701,671,32689,750,"Moderate Income",1101,4186,49683,679300,1163,2862,0,0,945,0,0,114,265,"Moderate Income",1324
36047029100,2842,44.5,151,30489,620,"Moderate Income",2797.5,2896,44505,687000,756,477,2003,0,10,0,0,54,352,"Moderate Income",2419
36047029200,2332,1610,446,26733,688,"Low Income",722,2971,46944,706400,700,1321,94,0,989,0,0,23,544,"Moderate Income",1650
36047029300,3324,36,221,30595,421,"Moderate Income",3288,3156,38576,1040100,779,159,2034,41,150,0,0,28,744,"Moderate Income",2997
36047029400,2278,1540,356,52254,735,"Moderate Income",738,2493,51500,793600,365,1293,157,0,607,0,0,67,369,"Moderate Income",1200
36047029500,3819,16,510,37661,648,"Moderate Income",3803,4027,56842,1072300,1543,821,2504,0,173,0,15,123,391,"Moderate Income",3206
36047029600,5343,3872,826,43894,737,"Moderate Income",1471,5845,53137,609300,1587,2857,6,15,2500,0,0,197,285,"Moderate Income",3003
36047029700,3271,126,487,35819,687,"Moderate Income",3145,4302,58462,944400,1183,465,3161,0,55,0,0,279,342,"Moderate Income",3837
36047029800,3433,2437,497,43393,740,"Moderate Income",996,4126,55469,840000,932,1794,40,0,1261,0,119,18,894,"Moderate Income",2332
36047029900,1606,30,42,22625,550,"Low Income",1576,2947,31953,590000,236,89,2165,0,98,0,5,11,579,"Moderate Income",2858
36047030000,3627,2151,518,42639,768,"Moderate Income",1476,4237,50268,661600,824,1181,55,0,2159,0,0,0,842,"Moderate Income",3056
36047030100,2619,10,154,32114,645,"Moderate Income",2609,2675,44911,614800,405,189,1965,0,197,0,0,0,324,"Moderate Income",2486
36047030200,3742,2387,461,51331,697,"Moderate Income",1355,4802,56250,688000,918,1553,29,0,2889,0,8,105,218,"Moderate Income",3249
36047030300,3409,12,144,19911,504,"Low Income",3397,5120,28380,580200,597,75,3757,0,45,0,0,62,1181,"Low Income",5045
36047030400,3972,2530,653,41275,720,"Moderate Income",1442,4109,42250,692000,927,1900,75,0,1667,0,0,203,264,"Moderate Income",2209
36047030500,4691,160,351,29857,673,"Low Income",4531,6267,70125,544800,3034,2483,2471,0,317,0,0,93,903,"High Income",3784
36047030600,1893,1244,207,45288,746,"Moderate Income",649,1880,46250,674600,340,805,8,0,789,0,0,59,219,"Moderate Income",1075
36047030700,3913,5,85,11400,242,"Low Income",3908,4958,20881,752900,534,170,3263,0,30,0,0,57,1438,"Low Income",4788
36047030800,1678,1299,195,38792,593,"Moderate Income",379,2006,45417,487800,426,1419,30,0,330,0,0,32,195,"Moderate Income",587
36047030900,1410,10.5,27,28922,374,"Low Income",1399.5,2190,36087,516100,302,59,1532,0,346,0,0,0,253,"Moderate Income",2131
36047031100,2692,9,120,27820,549,"Low Income",2683,3194,50191,649500,633,185,2381,0,14,0,27,178,409,"Moderate Income",3009
36047031300,4782,141,327,26158,551,"Low Income",4641,4753,41165,1016200,1260,588,3496,18,18,0,54,32,565,"Moderate Income",4183
36047031400,4512,3567,714,41196,568,"Moderate Income",945,5127,59022,428700,1236,3529,22,17,1148,0,0,0,411,"Moderate Income",1598
36047031500,5371,56,380,27600,639,"Low Income",5315,4776,53563,801700,2070,1346,2696,0,184,0,0,210,340,"Moderate Income",3430
36047031701,3673,15,340,31064,602,"Moderate Income",3658,3306,56250,1052200,983,898,2055,10,162,0,0,79,112,"Moderate Income",2418
36047031702,3599,74,261,32831,665,"Moderate Income",3525,3799,64231,756300,1227,1082,1872,0,166,0,118,176,385,"High Income",2717
36047031900,3840,690,647,36875,630,"Moderate Income",3150,3412,47587,691900,969,1143,1934,0,34,0,0,52,249,"Moderate Income",2269
36047032100,5612,105,431,30737,641,"Moderate Income",5507,5866,51622,761700,1694,1094,3572,0,187,0,252,50,711,"Moderate Income",4772
36047032300,3763,33,415,32090,609,"Moderate Income",3730,3665,66419,690400,1206,610,2487,0,67,0,0,181,320,"High Income",3055
36047032500,6641,17,491,30596,623,"Moderate Income",6624,6881,50096,0,1407,447,5647,0,165,0,0,92,530,"Moderate Income",6434
36047032600,7247,768,276,16620,406,"Low Income",6479,7191,23849,444100,444,1058,2542,45,658,0,0,126,2762,"Low Income",6133
36047032700,3974,98,396,41944,644,"Moderate Income",3876,2485,43953,881400,772,343,1605,0,28,0,30,20,459,"Moderate Income",2142
36047032800,3198,212,309,32264,346,"Moderate Income",2986,2376,55236,379400,334,311,918,48,777,0,0,18,304,"Moderate Income",2065
36047032900,5856,763,421,29932,643,"Low Income",5093,6207,42628,537200,1259,2545,2964,0,82,65,40,40,471,"Moderate Income",3662
36047033000,5288,696,335,23094,449,"Low Income",4592,4948,27965,388200,627,816,2726,0,208,0,0,156,1042,"Low Income",4132
36047033100,4725,2345,415,29009,607,"Low Income",2380,4046,42438,948100,710,2357,1511,0,0,0,0,0,178,"Moderate Income",1689
36047033300,4491,2539,587,40871,771,"Moderate Income",1952,4531,49896,808200,683,3223,1135,7,0,0,7,16,143,"Moderate Income",1308
36047033500,2975,1083,554,38717,762,"Moderate Income",1892,3034,46375,895800,712,1993,854,0,35,0,6,9,137,"Moderate Income",1041
36047033600,907,720,160,42292,624,"Moderate Income",187,4041,76900,557800,1559,3265,239,2,108,0,13,112,302,"High Income",776
36047033700,4541,1292,496,35965,708,"Moderate Income",3249,4254,67763,701500,873,1641,1990,32,110,0,0,44,469,"High Income",2645
36047033900,4704,26,481,44063,620,"Moderate Income",4678,4829,37239,816600,1069,1045,3080,0,256,0,18,162,268,"Moderate Income",3784
36047034000,2641,987,146,18040,271,"Low Income",1654,2215,20714,0,406,782,837,0,134,0,0,7,455,"Low Income",1433
36047034100,2649,63,260,39559,606,"Moderate Income",2586,2809,51125,578900,703,389,2101,0,11,0,61,65,182,"Moderate Income",2420
36047034200,7299,1221,519,14883,291,"Low Income",6078,6404,19574,293300,992,2028,2112,0,360,0,228,14,1662,"Low Income",4376
36047034300,5434,33,298,23265,309,"Low Income",5401,5279,27569,920500,778,389,3345,48,200,0,0,117,1180,"Low Income",4890
36047034500,2489,21,130,39609,654,"Moderate Income",2468,3050,36548,587300,472,230,2193,0,27,0,54,130,416,"Moderate Income",2820
36047034700,3135,26,121,16667,510,"Low Income",3109,3412,36172,644500,681,52,2854,0,65,0,0,0,441,"Moderate Income",3360
36047034800,1563,683,138,29582,735,"Low Income",880,2874,55469,599100,460,950,78,0,500,0,0,0,1346,"Moderate Income",1924
36047034900,5572,189,319,29329,618,"Low Income",5383,6041,33917,596900,620,462,4771,0,68,0,0,119,621,"Moderate Income",5579
36047035000,4032,3515,694,33286,565,"Moderate Income",517,2856,39531,208000,931,2772,24,0,20,0,0,0,40,"Moderate Income",84
36047035100,5104,752,461,29744,601,"Low Income",4352,4445,32656,735000,471,796,2277,13,116,0,84,206,966,"Moderate Income",3662
36047035200,530,320,79,12256,234,"Low Income",210,1083,12302,0,266,594,289,6,12,0,0,0,182,"Low Income",489
36047035300,5558,677,289,25652,572,"Low Income",4881,5253,48738,735000,1083,968,3522,0,185,0,0,130,448,"Moderate Income",4285
36047035400,5575,5201,1502,37236,518,"Moderate Income",374,5533,43773,347800,2673,5080,31,0,0,0,0,24,398,"Moderate Income",453
36047035500,5321,490,287,32586,651,"Moderate Income",4831,5397,46632,642200,896,922,3899,0,0,0,0,41,535,"Moderate Income",4475
36047035601,2195,2054,584,42111,532,"Moderate Income",141,2849,43152,279900,1350,2575,158,0,0,9,0,0,107,"Moderate Income",274
36047035602,5969,5584,1588,42111,532,"Moderate Income",385,5198,36615,299500,2210,4953,1,0,115,0,0,25,104,"Moderate Income",245
36047035700,2407,22,82,19125,482,"Low Income",2385,2425,27375,377800,228,48,1852,8,11,0,57,45,404,"Low Income",2377
36047035900,5268,81,135,20202,583,"Low Income",5187,5337,30096,538300,363,5,4622,0,65,0,0,31,614,"Moderate Income",5332
36047036001,3464,3158,1029,27819,597,"Low Income",306,3090,21750,484800,1138,2927,16,0,0,0,0,106,41,"Low Income",163
36047036002,4230,3900,1039,18201,576,"Low Income",330,4241,18092,0,1390,3683,32,0,134,0,0,25,367,"Low Income",558
36047036100,2640,151,85,24018,426,"Low Income",2489,2973,28960,615700,182,124,2145,0,17,0,15,18,654,"Low Income",2849
36047036200,4977,1596,386,21774,596,"Low Income",3381,3480,31250,503200,831,1416,40,108,957,0,0,0,959,"Moderate Income",2064
36047036300,3594,10,163,14375,408,"Low Income",3584,4331,31075,601500,489,223,3409,39,15,0,0,65,619,"Moderate Income",4147
36047036400,2711,1189,458,26042,693,"Low Income",1522,2498,53173,558100,822,1549,47,7,614,0,0,63,225,"Moderate Income",956
36047036501,2429,7,110,25694,529,"Low Income",2422,2916,39926,462500,533,21,2655,0,18,0,0,0,222,"Moderate Income",2895
36047036502,916,37,35,26667,643,"Low Income",879,1282,36708,654100,109,63,845,0,9,0,0,0,365,"Moderate Income",1219
36047036600,4207,2005,588,33536,710,"Moderate Income",2202,5165,37414,507500,1239,2279,100,0,1280,0,0,233,1273,"Moderate Income",2886
36047036700,1649,12,57,29853,586,"Low Income",1637,1405,50382,370400,243,56,861,0,70,0,11,46,361,"Moderate Income",1349
36047036900,4912,73,173,21308,602,"Low Income",4839,5619,37481,386100,620,341,3582,0,14,0,0,42,1640,"Moderate Income",5278
36047037000,4028,3039,920,52143,741,"Moderate Income",989,4495,63083,512400,1420,2785,0,32,1400,0,44,10,224,"High Income",1710
36047037100,3982,1,179,24743,620,"Low Income",3981,4491,50761,536200,580,348,3231,0,80,0,0,74,758,"Moderate Income",4143
36047037300,4232,47,364,27375,573,"Low Income",4185,4050,30396,617500,542,447,2492,48,72,0,0,14,977,"Moderate Income",3603
36047037401,3961,3361,971,45686,710,"Moderate Income",600,4470,45938,518000,1475,3235,254,71,363,0,151,254,142,"Moderate Income",1235
36047037402,5297,4489,1297,45787,713,"Moderate Income",808,4753,33247,751800,1479,3001,101,0,855,0,0,52,744,"Moderate Income",1752
36047037500,2798,29,71,27826,593,"Low Income",2769,3042,38056,620000,413,546,1408,125,444,0,4,54,586,"Moderate Income",2621
36047037700,3823,33,319,40040,654,"Moderate Income",3790,4354,45688,871500,939,400,3220,19,45,0,0,144,545,"Moderate Income",3973
36047037900,2831,11,207,35714,667,"Moderate Income",2820,3683,37250,562500,688,343,3017,0,46,0,0,42,235,"Moderate Income",3340
36047038100,4849,51.5,172,22807,410,"Low Income",4797.5,5459,32933,848900,709,393,4194,0,0,0,0,80,792,"Moderate Income",5066
36047038200,6161,577,240,17214,331,"Low Income",5584,6197,19201,1031300,594,343,2118,0,1637,0,0,282,1817,"Low Income",5854
36047038300,3999,101,481,38636,715,"Moderate Income",3898,4525,67917,645300,1064,368,3488,0,249,0,0,93,327,"High Income",4157
36047038500,3628,10,260,30972,618,"Moderate Income",3618,3503,60931,650700,967,458,2216,34,124,0,0,69,636,"High Income",3079
36047038600,3377,2128,298,35093,724,"Moderate Income",1249,3730,57188,594100,633,1356,1,0,1377,0,8,38,950,"Moderate Income",2374
36047038700,3581,43,159,28438,531,"Low Income",3538,4201,48266,642200,957,791,2274,26,125,0,0,29,956,"Moderate Income",3410
36047038800,3780,3270,659,42647,677,"Moderate Income",510,3833,62289,613800,1108,2698,257,0,511,0,0,26,341,"High Income",1135
36047038900,2311,44,74,22391,598,"Low Income",2267,2943,53938,332100,746,803,236,90,358,0,16,15,1515,"Moderate Income",2230
36047039000,2248,2006,426,41833,717,"Moderate Income",242,2457,64342,559300,479,2212,0,0,87,0,0,68,90,"High Income",245
36047039100,1411,18,46,19205,595,"Low Income",1393,3053,46007,0,603,572,321,0,78,0,0,106,1976,"Moderate Income",2481
36047039200,2773,2482,471,30417,823,"Moderate Income",291,2546,42188,743100,658,2083,0,0,331,0,0,0,132,"Moderate Income",463
36047039300,2816,39,85,26875,598,"Low Income",2777,3675,56518,585600,837,746,740,46,161,0,26,38,1964,"Moderate Income",2975
36047039400,2592,2241,148,34712,802,"Moderate Income",351,2464,55673,917500,379,1912,61,0,60,0,11,121,299,"Moderate Income",552
36047039500,3542,183,191,27869,545,"Low Income",3359,4422,46582,663200,764,866,1581,0,373,0,0,19,1583,"Moderate Income",3556
36047039600,2058,1891,282,42292,728,"Moderate Income",167,1824,42192,952400,286,1446,0,83,25,132,0,11,127,"Moderate Income",378
36047039700,3176,11,131,21250,632,"Low Income",3165,3701,38750,525800,579,537,1893,0,51,0,0,31,1189,"Moderate Income",3164
36047039800,2452,1496,182,37063,720,"Moderate Income",956,2665,52024,615100,576,988,0,30,1169,0,15,18,475,"Moderate Income",1707
36047039900,3777,12,115,24792,604,"Low Income",3765,3893,40375,633100,588,441,1439,13,8,0,137,0,1868,"Moderate Income",3465
36047040000,2878,1940,300,36042,720,"Moderate Income",938,3344,51835,682600,468,1350,20,0,1620,0,0,0,354,"Moderate Income",1994
36047040100,3227,23,103,22917,681,"Low Income",3204,3244,44412,685200,752,554,1636,1,141,0,0,14,898,"Moderate Income",2690
36047040200,2568,1483,269,43625,685,"Moderate Income",1085,2962,53269,739800,531,1172,0,58,1203,0,0,35,552,"Moderate Income",1848
36047040300,2977,65,73,25917,672,"Low Income",2912,4025,36116,754000,631,346,2491,0,50,0,0,0,1138,"Moderate Income",3679
36047040400,2065,1476,271,46328,733,"Moderate Income",589,2352,52438,772600,384,1041,12,0,1024,0,0,23,252,"Moderate Income",1311
36047040500,1308,32,43,38017,680,"Moderate Income",1276,1555,60987,431900,378,159,651,0,21,0,0,9,715,"High Income",1396
36047040600,3160,2014,513,42056,683,"Moderate Income",1146,3533,36292,790100,622,1091,30,0,1756,0,53,26,577,"Moderate Income",2442
36047040800,2893,1846,378,42096,772,"Moderate Income",1047,3499,73445,704800,687,990,135,0,1601,0,0,49,724,"High Income",2509
36047040900,3535,33,115,23438,638,"Low Income",3502,3526,48052,534000,467,320,596,22,18,0,0,38,2554,"Moderate Income",3228
36047041000,1729,1375,288,49357,611,"Moderate Income",354,1977,55938,658000,432,1247,13,0,592,0,1,23,101,"Moderate Income",730
36047041100,2857,50,63,24219,597,"Low Income",2807,3147,35369,529000,335,363,1335,0,62,0,0,44,1343,"Moderate Income",2784
36047041200,2716,1790,448,46948,682,"Moderate Income",926,3161,50189,680100,660,1616,0,23,923,0,42,36,544,"Moderate Income",1568
36047041300,3241,34.5,144,25054,719,"Low Income",3206.5,4062,39128,808900,375,444,1314,51,156,0,26,40,2082,"Moderate Income",3669
36047041401,1386,1152,139,45132,658,"Moderate Income",234,1653,59063,587500,313,1325,11,0,91,0,0,0,226,"Moderate Income",328
36047041402,1922,1809,278,52050,692,"Moderate Income",113,1783,46210,1010900,524,1699,0,0,0,0,0,0,84,"Moderate Income",84
36047041500,3638,22,206,25000,676,"Low Income",3616,4409,56532,576900,438,378,1177,49,100,0,0,27,2727,"Moderate Income",4080
36047041600,2574,2261,354,43125,763,"Moderate Income",313,2357,46797,697700,237,1760,65,0,151,0,12,10,359,"Moderate Income",597
36047041700,3106,48,85,17238,466,"Low Income",3058,3215,32344,581600,265,281,663,11,273,0,0,24,1974,"Moderate Income",2945
36047041800,2538,2122,337,35163,679,"Moderate Income",416,2598,34450,895500,246,2096,4,7,120,0,0,0,378,"Moderate Income",509
36047041900,3897,83,137,24583,528,"Low Income",3814,3871,38521,489600,307,390,747,154,91,0,59,0,2480,"Moderate Income",3531
36047042000,2302,1966,249,54375,819,"Moderate Income",336,1831,54643,986100,394,1688,15,0,39,0,0,0,89,"Moderate Income",143
36047042100,3435,42,187,22283,600,"Low Income",3393,4321,41250,567700,514,624,486,47,216,0,0,12,2967,"Moderate Income",3728
36047042200,3691,2997,539,46607,753,"Moderate Income",694,3523,60331,803900,751,2155,49,69,156,0,0,366,797,"High Income",1437
36047042300,2617,61,164,17667,635,"Low Income",2556,4384,62750,485900,697,1047,188,19,228,0,0,36,2885,"High Income",3356
36047042400,3654,2243,568,38872,686,"Moderate Income",1411,3752,49417,689800,782,2217,0,20,890,0,0,36,589,"Moderate Income",1535
36047042500,2298,31,52,17917,595,"Low Income",2267,3103,59352,398100,1046,996,201,1,118,0,0,43,1744,"Moderate Income",2107
36047042600,3823,2403,489,36900,685,"Moderate Income",1420,4373,48015,695400,1104,1695,141,0,1723,0,0,82,732,"Moderate Income",2678
36047042700,5599,106,99,17526,610,"Low Income",5493,5303,51842,725600,1115,1360,414,16,249,0,0,114,3150,"Moderate Income",3943
36047042800,3655,2679,797,41923,700,"Moderate Income",976,3692,52569,597300,1422,2421,19,0,1023,0,0,41,188,"Moderate Income",1271
36047042900,5829,253,116,15108,642,"Low Income",5576,5327,49179,393100,1062,1356,127,0,200,0,18,89,3537,"Moderate Income",3971
36047043000,3291,2252,453,33831,705,"Moderate Income",1039,3602,37813,607800,691,1564,0,0,1595,0,0,37,406,"Moderate Income",2038
36047043100,5276,300,96,19829,639,"Low Income",4976,5369,62625,589700,1129,1251,138,108,675,0,11,56,3238,"High Income",4226
36047043200,3860,2099,605,32273,669,"Moderate Income",1761,4522,49946,643400,973,1802,19,8,1936,0,16,130,619,"Moderate Income",2728
36047043300,3668,68,69,19492,563,"Low Income",3600,4284,32500,788300,269,273,321,21,327,0,0,0,3363,"Moderate Income",4032
36047043400,3529,2243,690,37396,695,"Moderate Income",1286,3480,52123,554300,965,1926,0,0,1186,0,0,43,325,"Moderate Income",1554
36047043500,4494,42,216,26694,676,"Low Income",4452,5202,50625,562500,788,523,792,0,68,0,0,19,3800,"Moderate Income",4679
36047043600,4020,2881,705,31353,705,"Moderate Income",1139,4532,44799,910700,1061,2758,52,0,1450,0,0,0,272,"Moderate Income",1774
36047043700,5027,87,135,26115,656,"Low Income",4940,6449,46690,597200,1069,1079,1056,13,46,0,8,164,4096,"Moderate Income",5383
36047043800,2719,2429,548,41974,707,"Moderate Income",290,2556,42115,691700,575,1880,60,0,231,0,0,63,322,"Moderate Income",676
36047043900,3733,50,86,29853,749,"Low Income",3683,4146,53073,625800,521,272,679,70,399,0,0,75,2651,"Moderate Income",3874
36047044000,2726,2377,322,42188,759,"Moderate Income",349,2939,44961,920900,602,2451,52,0,92,0,0,103,241,"Moderate Income",488
36047044100,5630,479,231,22757,665,"Low Income",5151,5261,52852,585200,832,804,165,72,745,0,41,35,3450,"Moderate Income",4508
36047044200,2769,2577,462,37266,811,"Moderate Income",192,2991,71848,995100,838,2688,0,200,28,0,17,58,0,"High Income",303
36047044300,5180,452,407,27188,679,"Low Income",4728,4896,50532,492600,960,1022,156,0,905,0,31,87,2695,"Moderate Income",3874
36047044400,3201,2750,666,41354,749,"Moderate Income",451,3514,48133,614100,740,2874,87,0,122,0,0,7,424,"Moderate Income",640
36047044500,4582,373,366,30815,657,"Moderate Income",4209,5066,57604,522000,1235,1073,299,57,433,0,105,112,3044,"Moderate Income",4050
36047044600,1813,1119,275,46250,702,"Moderate Income",694,2190,60052,793900,469,1124,13,0,754,0,0,40,259,"High Income",1066
36047044700,1806,168,87,22232,630,"Low Income",1638,2496,50000,464300,645,655,436,0,110,13,11,32,1239,"Moderate Income",1841
36047044800,1679,1413,416,60119,791,"High Income",266,1801,52361,396000,507,1430,0,0,132,0,0,46,193,"Moderate Income",371
36047044900,2968,286,117,17038,373,"Low Income",2682,3034,27643,808000,379,474,1091,18,109,0,0,0,1342,"Low Income",2560
36047045000,1197,1076,351,51406,827,"Moderate Income",121,551,43750,854200,105,519,0,0,13,0,0,0,19,"Moderate Income",32
36047045200,2880,2731,628,62083,823,"High Income",149,2768,76563,803700,777,2601,21,0,63,0,0,0,83,"High Income",167
36047045300,1630,137,86,17500,603,"Low Income",1493,2513,53125,0,456,649,653,0,54,0,0,16,1141,"Moderate Income",1864
36047045400,2033,1725,389,46696,808,"Moderate Income",308,1771,58750,887500,537,1326,17,10,75,0,0,126,227,"Moderate Income",455
36047045600,2312,1960,531,47500,770,"Moderate Income",352,2399,33750,1166100,606,1711,21,0,467,0,10,123,67,"Moderate Income",688
36047045800,1556,1510,473,79369,714,"High Income",46,1602,72271,0,361,1412,29,18,0,0,0,0,143,"High Income",190
36047046000,3668,2107,767,39572,725,"Moderate Income",1561,3969,51528,694100,981,1889,59,19,1539,0,73,165,244,"Moderate Income",2099
36047046201,2469,1926,465,50074,631,"Moderate Income",543,2498,24701,437100,850,2152,0,0,296,0,8,0,42,"Low Income",346
36047046202,1468,1201,205,54250,824,"Moderate Income",267,2283,52738,881200,465,1915,0,0,17,0,12,0,339,"Moderate Income",368
36047046400,2510,2238,186,38068,785,"Moderate Income",272,2929,58266,916400,360,2647,48,0,119,0,0,48,67,"Moderate Income",282
36047046800,936,837,108,45917,796,"Moderate Income",99,2368,43750,845100,211,2274,7,0,52,0,0,0,35,"Moderate Income",94
36047047000,3066,2966,250,47885,693,"Moderate Income",100,2719,46250,981700,260,2409,13,0,121,0,9,55,112,"Moderate Income",310
36047047200,3103,2952,455,30104,892,"Moderate Income",151,2777,51958,884500,309,2745,24,0,0,0,0,0,8,"Moderate Income",32
36047047400,2983,2800,319,34597,774,"Moderate Income",183,2717,50893,1015100,296,2632,0,0,0,0,0,60,25,"Moderate Income",85
36047047600,3811,3566,426,34716,683,"Moderate Income",245,3563,35571,884900,377,3048,132,18,8,0,0,15,342,"Moderate Income",515
36047047700,2259,1517,412,43750,658,"Moderate Income",742,3816,101607,843000,2208,2759,163,0,404,0,60,86,344,"Very High Income",1057
36047047800,4916,3300,529,37250,749,"Moderate Income",1616,4455,41719,972200,413,3331,11,33,221,0,71,51,770,"Moderate Income",1157
36047048000,3442,2233,390,29922,655,"Low Income",1209,4028,30659,826600,449,2512,131,0,471,0,0,0,914,"Moderate Income",1516
36047048100,2772,1065,403,26500,630,"Low Income",1707,3050,76682,950000,1350,1535,137,0,510,0,25,17,826,"High Income",1515
36047048200,5310,2925,997,29183,640,"Low Income",2385,5300,41566,496100,1539,2438,305,8,2036,0,53,38,422,"Moderate Income",2862
36047048400,5169,3445,721,31021,729,"Moderate Income",1724,6107,50156,686900,1087,4303,455,0,556,0,0,344,449,"Moderate Income",1804
36047048500,1607,238,118,33314,723,"Moderate Income",1369,2802,99063,503100,1158,1379,107,34,137,0,0,63,1116,"Very High Income",1457
36047048600,3657,788,346,31449,731,"Moderate Income",2869,3355,47981,708900,595,851,106,0,1473,0,0,14,911,"Moderate Income",2504
36047048800,4393,2430,773,40789,718,"Moderate Income",1963,3929,48229,369700,994,1843,232,0,1210,0,0,210,434,"Moderate Income",2086
36047048900,4020,5,87,15926,216,"Low Income",4015,3595,17518,0,214,19,1279,37,48,0,0,0,2229,"Low Income",3593
36047049000,6153,3699,1036,33409,716,"Moderate Income",2454,6290,51290,460900,2013,3215,450,54,1125,0,0,237,1236,"Moderate Income",3102
36047049100,5442,358,447,25733,404,"Low Income",5084,6670,38400,0,894,1199,773,122,2435,35,0,0,2228,"Moderate Income",5593
36047049200,3346,1217,650,34891,697,"Moderate Income",2129,3108,46974,625700,767,1577,450,10,694,0,0,34,343,"Moderate Income",1531
36047049300,7681,372,245,21358,424,"Low Income",7309,7797,32665,0,1528,1472,1272,26,266,0,19,288,4480,"Moderate Income",6351
36047049400,5596,3125,1073,32941,742,"Moderate Income",2471,5930,50811,429000,1969,2755,462,0,1408,0,11,296,998,"Moderate Income",3175
36047049500,2793,1179,472,32635,683,"Moderate Income",1614,2920,87652,766900,1093,1564,65,0,355,0,19,44,873,"High Income",1356
36047049600,4484,1974,684,41201,718,"Moderate Income",2510,4452,73611,710900,1251,1371,93,120,1357,0,139,68,1424,"High Income",3201
36047049700,2238,1762,560,42457,720,"Moderate Income",476,2786,85058,1144900,1567,1834,34,14,421,0,49,56,392,"High Income",966
36047049800,4069,2031,700,40163,708,"Moderate Income",2038,4624,77383,694800,1600,1680,214,0,1601,0,8,285,836,"High Income",2944
36047049900,1633,1503,268,33542,671,"Moderate Income",130,1860,78906,892500,950,1470,21,0,126,0,12,66,165,"High Income",390
36047050000,3711,2284,806,47353,738,"Moderate Income",1427,3964,85375,647900,1648,2236,233,0,903,0,6,108,478,"High Income",1728
36047050100,2662,1856,513,41542,691,"Moderate Income",806,3157,95769,930300,1475,2218,186,0,180,0,22,62,489,"Very High Income",939
36047050202,2221,1709,753,78726,640,"High Income",512,2246,98603,726600,1399,1977,24,10,58,0,6,58,123,"Very High Income",279
36047050300,2689,1301,429,36875,692,"Moderate Income",1388,2486,83864,666700,1126,1481,23,167,214,0,51,45,528,"High Income",1028
36047050400,4432,2164,1218,42428,737,"Moderate Income",2268,4626,81944,522400,1798,2331,519,0,650,0,47,138,941,"High Income",2295
36047050500,4211,461,327,27277,446,"Low Income",3750,4062,32750,510900,1196,1161,600,73,486,0,0,24,1757,"Moderate Income",2940
36047050600,6187,312,358,26571,695,"Low Income",5875,5986,51063,785400,1034,931,2614,11,462,0,17,62,1900,"Moderate Income",5066
36047050700,694,27,21,18214,436,"Low Income",667,2667,40272,650600,187,1851,187,0,36,0,62,41,490,"Moderate Income",816
36047050801,4575,124,248,24174,705,"Low Income",4451,4112,47750,345700,612,490,2540,0,32,0,0,21,1029,"Moderate Income",3622
36047050803,3279,89,177,24174,705,"Low Income",3190,2260,45086,437500,505,426,1285,6,70,0,8,46,419,"Moderate Income",1834
36047050804,6030,164,328,24174,705,"Low Income",5866,6297,51082,431100,1280,1010,2798,0,135,0,77,88,2189,"Moderate Income",5287
36047050900,1709,948,18,17078,669,"Low Income",761,4743,36107,654300,94,4273,178,0,0,12,0,0,280,"Moderate Income",470
36047051001,3877,73,181,26108,681,"Low Income",3804,4361,50954,0,829,380,3097,13,67,0,0,43,761,"Moderate Income",3981
36047051002,5396,103,252,26108,681,"Low Income",5293,4595,48266,1074400,864,453,2782,0,111,0,86,180,983,"Moderate Income",4142
